Número de campo,Concepto Retención en la Fuente de Impuesto a la Renta,Porcentaje
332I,Pago a través de convenio de debito (Clientes IFI`s),0
333,"Ganancia en la enajenación de derechos representativos de capital u otros derechos que permitan la exploración, explotación, concesión o similares de sociedades, que se coticen en bolsa de valores del Ecuador",10
334,"Contraprestación producida por la enajenación de derechos representativos de capital u otros derechos que permitan la exploración, explotación, concesión o similares de sociedades, no cotizados en bolsa de valores del Ecuador",1
335,"Loterías, rifas, pronósticos deportivos, apuestas y similares ",15
336,Venta de combustibles a comercializadoras,2/mil
337,Venta de combustibles a distribuidores,3/mil
338,Producción y venta local de banano producido o no por el mismo sujeto pasivo,1 a 2
340,Impuesto único a la exportación de banano,3
343,"Otras retenciones aplicables el 1% (incluye régimen RIMPE - Emprendedores, para este caso aplica con cualquier forma de pago inclusive los pagos que deban realizar las tarjetas de crédito/débito)",1
343A,Energía eléctrica,1
343B,"Actividades de construcción de obra material inmueble, urbanización, lotización o actividades similares",1.75
343C,Recepción de botellas plásticas no retornables de PET,2
3440,"Otras retenciones aplicables el 2,75% ",2.75
344A,Pago local tarjeta de crédito /débito reportada por la Emisora de tarjeta de crédito / entidades del sistema financiero,2
344B,Adquisición de sustancias minerales dentro del territorio nacional,2
346,Otras retenciones aplicables a otros porcentajes,varios porcentajes
346A,Otras ganancias de capital distintas de enajenación de derechos representativos de capital ,varios porcentajes
346B,Donaciones en dinero -Impuesto a las donaciones ,Conforme Art 36 LRTI literal d)
346C,Retención a cargo del propio sujeto pasivo por la producción y/o comercialización de minerales y otros bienes, 0 o 10
346D,Retención a cargo del propio sujeto pasivo por la comercialización de productos forestales, 0 o 10
350,Otras autorretenciones (inciso 1 y 2 Art.92.1 RLRTI),"1,50 o 1,75"
3480,Impuesto a la renta único sobre los ingresos percibidos por los operadores de pronósticos deportivos,15
3481,Autorretenciones Sociedades Grandes Contribuyentes,"Conforme  Nro. NAC-DGERCGC24-00000003 , del 12 de enero de 2024"
3482,"Comisiones  a sociedades, nacionales o extranjeras residentes y establecimientos permanentes domiciliados en el país",3
